indice_sueno_salud_mental,indice_actividad_corporal,indice_habitos_saludables,indice_contexto_socioambiental,indice_carga_clinica,valor_real,valor_predicho,residuo
0.3491,-0.3543,0.3592,0.1673,0.4271,54.3975,51.9013,2.4962
-0.1931,-0.8638,-0.5896,0.3529,-0.8474,11.0852,19.2122,-8.127
-0.0509,0.2924,-0.6893,-0.0261,0.4271,47.4506,45.4759,1.9747
-0.3881,-0.591,-0.169,0.0142,-2.3842,-0.9081,2.814,-3.7221
-0.707,-0.9468,-1.3213,-0.2606,0.4271,13.8027,18.0203,-4.2176
-1.4153,-1.0081,-0.2024,-0.0439,0.4271,12.6615,19.8575,-7.196
0.7683,0.8879,-0.1555,0.9198,0.4271,73.5485,71.6314,1.9171
0.3639,-0.4432,-0.0391,0.2307,0.4271,48.1109,48.436,-0.3252
-0.2355,-0.1544,0.2563,0.3917,-0.8474,35.6768,33.5125,2.1643
-1.6111,-0.689,-1.8697,-0.7628,0.4271,7.9153,3.5229,4.3924
1.1393,0.1829,-0.0611,0.2649,0.4271,61.1633,63.8522,-2.6889
-0.7898,-0.0905,-1.3148,0.0949,0.4271,40.255,29.2829,10.9721
-0.5857,0.0009,-0.0327,-0.0676,0.4271,25.787,41.233,-15.446
0.4756,1.3338,0.3929,-0.8431,0.4271,66.2123,65.4746,0.7376
1.1728,0.5227,-0.25,-0.3262,0.4271,59.3687,62.4705,-3.1017
0.4132,0.3839,-0.1811,0.4343,0.4271,60.9956,58.5883,2.4073
1.086,1.5318,-0.0562,0.3502,0.4271,77.4606,79.0798,-1.6193
-0.7921,-1.5389,-0.362,-0.0307,0.4271,18.5657,19.4285,-0.8628
-0.0536,0.7208,0.1694,-0.2154,0.4271,57.3832,55.5557,1.8276
-0.0189,0.3095,0.5274,0.3335,0.4271,58.462,57.8727,0.5893
-1.7674,-0.5228,0.4376,-0.4333,0.4271,34.5785,23.7577,10.8208
0.1697,0.8878,-0.0184,0.1919,0.4271,64.4117,61.212,3.1996
0.8134,0.3372,-0.0873,0.1886,0.4271,64.9227,61.3636,3.559
1.2651,1.2068,1.0835,0.3243,0.4271,83.9165,85.9322,-2.0157
-0.0814,0.35,-0.1635,0.3076,0.4271,46.0908,52.1627,-6.0719
-0.4518,-0.0241,0.101,0.3965,0.4271,44.1485,46.6397,-2.4912
-1.784,-1.1476,0.5687,0.0141,0.4271,22.3876,20.6728,1.7148
0.5963,1.1702,0.3708,0.1604,0.4271,72.0592,71.7327,0.3265
-1.2161,-0.2111,0.3521,0.1396,-2.3842,10.173,3.0956,7.0774
1.4757,1.8427,0.5916,0.7162,0.4271,95.7788,94.2795,1.4993
0.5438,1.0658,0.2766,-0.2819,0.4271,63.957,66.1975,-2.2405
-0.1611,0.243,0.0064,0.5436,0.4271,55.9888,53.0516,2.9373
1.1748,-0.0632,0.9184,-0.0826,0.4271,64.5836,66.5858,-2.0022
-1.1376,-0.3376,0.0502,-0.5101,-0.8474,19.7263,13.9326,5.7938
-0.4574,-0.8474,-0.0363,0.1342,-0.8474,22.7318,19.3015,3.4303
0.2847,-0.2251,0.1253,0.1044,0.4271,53.755,50.427,3.3281
-1.6622,-1.4009,0.5304,-0.9583,0.4271,6.9262,12.0768,-5.1505
-0.4181,0.3432,0.1866,0.2688,0.4271,44.6569,50.9012,-6.2443
0.2165,-0.5279,0.8732,0.4197,0.4271,52.7856,54.2366,-1.451
0.5253,0.7472,1.0675,0.0354,0.4271,75.6919,70.7068,4.9851
1.0925,-0.5633,0.7979,0.2215,0.4271,68.7727,61.2672,7.5054
-0.6708,-1.021,0.4732,-0.0679,-0.8474,11.3309,17.5774,-6.2466
0.9698,1.6278,0.0454,0.4908,0.4271,79.2916,80.673,-1.3814
-0.4389,1.0787,0.3062,0.6008,0.4271,71.2083,62.1776,9.0307
-1.3586,-1.5623,-1.0733,-0.173,-0.8474,-11.9403,-8.5069,-3.4335
-1.2462,-0.2671,-0.1627,-0.3635,0.4271,36.1966,28.0842,8.1123
0.3813,-0.9428,0.3846,-0.5284,0.4271,43.75,40.9879,2.7621
0.4808,-0.0146,0.0135,1.2639,0.4271,52.1896,62.0938,-9.9042
0.9458,0.5759,0.2933,0.0355,0.4271,69.7405,67.3299,2.4106
0.5964,0.9762,-0.6409,-0.3032,0.4271,56.0264,58.5465,-2.5201
0.7561,-0.1208,0.6374,-0.3638,0.4271,62.2641,57.3357,4.9284
-0.2056,0.2602,-0.2374,0.1426,0.4271,51.4404,48.1062,3.3342
-0.6556,-0.6565,-0.0935,-0.9273,0.4271,23.7664,26.6463,-2.8799
0.4581,-0.2621,0.2969,-0.1182,0.4271,57.1223,51.6425,5.4798
-1.7118,-1.2005,-1.2445,-0.4207,-2.3842,-29.9339,-29.5186,-0.4153
0.1696,-0.1753,-0.4368,-0.7692,0.4271,29.1806,39.3572,-10.1766
-1.4844,-0.6284,-0.4957,-0.7003,-0.8474,-3.9668,1.4258,-5.3926
1.1382,1.2135,0.403,0.4842,0.4271,81.0879,80.524,0.5639
-0.1298,0.1793,-0.1855,0.1184,0.4271,44.9982,48.2396,-3.2414
-0.9655,0.2554,0.2295,0.2267,0.4271,38.0627,44.0875,-6.0247
0.1289,0.7831,-0.9833,-0.5573,0.4271,49.7026,46.9657,2.7369
1.659,-0.0285,0.0355,0.2852,0.4271,63.2037,67.9273,-4.7236
0.3782,-0.1111,-1.0476,0.6258,0.4271,46.5333,47.3107,-0.7774
-0.3739,0.2518,0.5128,-0.4835,0.4271,59.6132,47.6268,11.9865
-0.4335,0.1505,0.5539,-0.1362,0.4271,55.6055,48.5816,7.0239
1.1623,1.3561,0.308,-0.1979,0.4271,73.6933,76.9139,-3.2206
-0.7737,-0.6141,-0.8388,-0.238,-0.8474,14.5484,9.7741,4.7743
1.5573,1.3325,0.4655,0.8274,0.4271,88.7841,89.2191,-0.435
0.8813,0.3143,-0.816,0.3678,0.4271,55.6134,57.4736,-1.8602
0.6169,0.9726,0.7217,0.0301,0.4271,68.3656,71.5254,-3.1598
-0.3561,0.7247,-0.4587,-0.1977,0.4271,33.775,47.6485,-13.8735
-0.1074,1.1252,-0.1162,1.0809,0.4271,66.9985,66.3393,0.6593
-0.6446,-1.1319,-0.2639,-0.117,-2.3842,-7.3558,-7.6589,0.3031
-0.2628,-0.8266,-0.5732,0.2308,-0.8474,21.6779,18.161,3.5169
-0.8964,-0.6327,1.0678,-0.44,-2.3842,3.2462,3.2568,-0.0106
1.3085,1.898,0.4136,-0.1125,0.4271,87.0844,85.9798,1.1046
0.0357,0.3845,-0.1207,-0.8271,0.4271,43.6705,46.2458,-2.5753
1.0761,0.3498,0.5682,0.6784,0.4271,61.6574,72.768,-11.1106
-0.032,0.4613,0.1608,-0.6924,0.4271,51.3624,49.4868,1.8756
1.1955,1.7112,0.8035,0.4845,0.4271,78.4743,89.8176,-11.3433
-0.5326,-0.6051,0.0597,-0.5641,-0.8474,32.6043,17.1041,15.5002
0.7548,-0.0729,0.4662,-0.1421,0.4271,57.9372,58.085,-0.1478
-1.6128,-1.1922,0.086,0.338,-2.3842,-7.9388,-12.8552,4.9164
-0.2209,0.3332,-0.4017,0.0712,0.4271,49.0523,47.0029,2.0494
1.4998,0.0981,0.0964,0.6496,0.4271,74.9248,70.6459,4.2789
-0.2473,-0.3692,0.1197,0.1018,0.4271,45.887,43.0456,2.8414
-0.6529,-1.1563,-0.617,-0.7826,-0.8474,5.2413,2.893,2.3483
-0.5394,-0.36,0.4543,-0.1739,0.4271,26.7618,40.677,-13.9152
1.4836,1.2339,0.5382,0.0893,0.4271,83.5661,82.7495,0.8165
1.0989,0.2229,-0.049,0.4068,0.4271,64.2898,64.9496,-0.6597
0.4087,-0.0424,0.9752,-0.2644,0.4271,54.301,57.7854,-3.4844
-1.0708,-0.9085,-0.182,-0.5988,-2.3842,-21.2178,-12.4316,-8.7862
-0.1062,0.114,-0.078,0.1797,0.4271,50.8819,49.0116,1.8703
-0.8656,0.1614,1.0835,-0.3637,0.4271,44.1627,46.5673,-2.4046
-0.4596,0.2017,-0.5074,-0.0691,0.4271,41.0263,41.1773,-0.1509
-0.0139,0.8399,0.6218,-0.0251,0.4271,65.223,62.1229,3.1001
-0.4294,0.8001,-0.0895,-0.0969,0.4271,44.2291,51.252,-7.0229
0.1466,-0.4864,0.6074,0.5338,0.4271,52.7283,52.7033,0.025
0.6084,0.4686,0.1124,0.2536,0.4271,67.8133,62.6332,5.18
-1.6668,-0.792,-1.8474,-0.7351,-0.8474,-6.9641,-13.0088,6.0447
-0.237,-0.9398,-0.935,-0.4768,0.4271,15.7662,24.6032,-8.837
0.9098,-0.0999,0.1386,0.5079,0.4271,62.1784,61.4388,0.7396
-0.5774,0.0113,0.4723,-0.095,0.4271,52.5048,45.1327,7.3721
-1.3541,-0.3055,-0.6083,-0.1337,-0.8474,0.1031,9.5242,-9.4211
0.835,0.559,-0.48,0.4573,0.4271,60.6109,62.9355,-2.3246
-1.3873,1.1605,0.8004,-0.475,0.4271,52.6878,49.2604,3.4273
0.8242,-0.1248,0.4459,-0.0423,0.4271,69.7555,58.781,10.9745
-0.9326,-1.1215,-0.0378,-0.3029,0.4271,31.1162,23.2183,7.8979
-0.0521,0.5196,-0.8255,-0.2909,0.4271,43.8609,45.1286,-1.2676
0.884,0.8585,0.6658,0.2677,-0.8474,50.2798,59.1851,-8.9052
0.7375,0.5147,0.5646,-0.1668,0.4271,66.0223,65.0918,0.9304
-0.681,1.1939,-0.1929,-0.1866,0.4271,42.0445,51.5658,-9.5213
0.2542,0.1155,0.0522,-0.2386,0.4271,55.0144,50.9829,4.0315
1.3066,1.6366,0.5049,0.2884,0.4271,88.8769,86.5096,2.3674
-0.5599,-0.316,-0.5938,0.3309,0.4271,36.4295,36.3976,0.0319
-0.1378,-0.3544,-0.1114,-0.8435,0.4271,41.6262,36.0366,5.5896
0.2248,-0.0874,-0.214,-0.4586,0.4271,46.369,44.8095,1.5596
1.0742,0.571,0.7911,0.0377,0.4271,77.9767,72.4961,5.4805
-1.6837,0.2317,-1.464,-0.335,-0.8474,4.6758,4.0518,0.6239
0.3147,-0.2574,-0.6127,-0.6259,0.4271,41.4124,39.6311,1.7813
0.8955,-0.0848,0.9091,0.2823,0.4271,64.6437,65.815,-1.1712
-0.1956,-0.4026,0.3195,-0.0216,0.4271,46.9195,43.9026,3.0169
0.1899,-0.0871,-0.5631,0.2988,0.4271,45.6066,47.018,-1.4114
-0.8825,-0.9558,0.1413,-0.6654,0.4271,21.1912,24.4767,-3.2854
0.2537,-0.2599,0.3065,0.5147,0.4271,59.9791,53.9503,6.0288
-1.6994,-0.7236,0.4382,-0.8773,0.4271,10.1142,19.1477,-9.0335
-0.2082,-0.2209,-0.555,0.3343,0.4271,44.2662,41.5579,2.7083
0.8689,-0.3619,-0.0853,0.6173,0.4271,59.6101,57.0936,2.5165
1.3598,0.8288,0.228,0.3079,0.4271,79.0465,76.0007,3.0458
0.5472,0.052,0.9268,-0.0453,0.4271,67.3179,61.4812,5.8367
0.8189,1.3288,-1.534,0.6646,0.4271,64.9091,64.7522,0.1569
0.6759,-0.3349,0.0991,0.1716,0.4271,48.1475,53.6489,-5.5014
-1.2577,-0.6179,-1.0606,0.1176,-2.3842,-16.4108,-12.9466,-3.4642
-0.1206,-0.3399,-0.8423,0.6397,0.4271,47.8422,41.071,6.7713
1.1639,-0.2642,0.3353,0.323,0.4271,65.8369,62.5427,3.2943
1.6068,0.7745,-0.2117,0.9269,0.4271,85.4852,78.9568,6.5284
-0.5489,-0.5443,0.2927,0.0739,0.4271,44.9564,38.9816,5.9748
-0.5769,-0.3982,0.2115,-0.2909,0.4271,38.1359,37.1655,0.9704
1.3846,0.509,0.3205,-0.397,0.4271,66.7403,68.4818,-1.7416
0.6972,2.0653,0.4272,1.1543,0.4271,84.2868,90.2208,-5.934
-0.0745,-0.3994,-0.0365,-0.2747,0.4271,48.0151,40.7386,7.2765
0.7058,-0.1123,1.0835,0.4648,0.4271,73.2474,66.0842,7.1632
0.5029,-0.126,0.6298,-0.973,-2.3842,13.4431,16.8718,-3.4287
1.2339,1.0047,0.1116,0.1834,0.4271,77.8639,74.8686,2.9952
-1.4093,0.7159,0.1738,-0.449,0.4271,39.546,39.3853,0.1606
0.2825,0.4313,-0.2973,-0.0277,0.4271,52.6908,53.6154,-0.9246
1.5034,1.2264,0.3288,0.7423,0.4271,87.8206,85.8054,2.0151
0.5413,-0.0949,0.2029,0.1504,0.4271,61.3571,55.5556,5.8015
0.5727,0.6532,-0.7142,0.5098,0.4271,52.0868,59.7481,-7.6613
2.0486,2.5406,0.9632,1.0857,0.4271,99.1307,113.6921,-14.5614
-0.7424,-1.5241,-1.2517,-0.5123,0.4271,9.1744,9.936,-0.7616
-0.4265,-0.6945,-0.1037,-0.4517,0.4271,41.3312,31.9018,9.4293
0.7583,0.2375,-0.0202,-0.6831,0.4271,59.7814,54.1096,5.6718
0.3713,0.8929,-0.1719,-0.8406,0.4271,54.497,55.0704,-0.5734
-0.2781,0.6434,-0.1575,-0.1662,0.4271,50.9557,50.1064,0.8493
-0.2701,-1.0729,0.6258,0.0215,0.4271,38.0368,38.2236,-0.1868
0.1919,0.8625,0.0973,0.2779,0.4271,67.1167,62.6535,4.4633
-0.3951,-0.9501,-1.2385,-0.2552,0.4271,26.176,21.998,4.178
0.5967,0.4756,-1.2269,0.0384,0.4271,50.3241,50.7873,-0.4632
0.6329,-0.0235,0.0706,0.8594,0.4271,61.905,61.2516,0.6533
1.1458,-0.0439,0.8414,-0.6555,-2.3842,20.492,28.5183,-8.0263
0.1483,0.7648,0.5444,-0.2961,0.4271,60.2353,60.537,-0.3017
0.2451,-0.1208,-0.0327,-0.9228,0.4271,38.5715,42.8195,-4.248
-0.7507,-1.1443,-0.5849,-0.5134,-2.3842,-10.8554,-14.1596,3.3042
-0.8047,0.4329,-0.0221,0.0977,0.4271,47.7169,44.9739,2.743
-0.2497,-0.0905,0.5256,-0.2714,0.4271,57.3264,46.6827,10.6437
1.5121,1.3734,0.3879,1.0292,0.4271,83.1815,90.0009,-6.8194
0.825,0.0724,-0.49,0.1131,-2.3842,20.0083,21.4884,-1.4801
-0.5571,0.427,0.8458,-0.978,0.4271,52.0909,46.7594,5.3314
-1.8634,-0.5987,-0.187,-0.0755,0.4271,23.5952,19.5578,4.0374
1.5457,0.6433,1.0835,-0.0775,0.4271,79.417,79.8094,-0.3924
-0.9558,-0.1803,-0.156,0.3994,0.4271,36.8553,37.5253,-0.6701
0.1124,0.1934,0.2301,-0.7235,0.4271,50.4041,48.338,2.0661
0.0411,0.1067,0.2922,0.0135,0.4271,49.4006,52.1993,-2.7987
0.1008,-0.4172,-0.8278,-0.0298,0.4271,34.3865,38.0311,-3.6446
0.4682,0.9498,0.0809,0.6599,0.4271,70.8526,69.1249,1.7277
-0.1406,0.3856,-0.4034,0.3854,0.4271,50.1589,50.624,-0.4651
-0.5461,0.2036,-0.6962,0.2913,0.4271,39.589,41.326,-1.737
-0.2204,0.0044,-0.1143,0.3453,0.4271,46.55,47.4267,-0.8767
0.3755,-0.6062,0.4096,0.3649,0.4271,47.3597,51.1113,-3.7516
1.0437,0.8347,0.1911,1.0895,0.4271,71.2958,77.8291,-6.5333
-0.4856,0.4655,0.0496,-0.7526,0.4271,52.6885,43.4001,9.2883
0.5546,0.7485,0.5985,0.0502,0.4271,68.4113,67.5309,0.8805
0.8733,0.0849,0.0809,-0.5167,0.4271,52.9433,55.5596,-2.6163
-1.5587,-0.8097,-0.8418,-0.8011,-2.3842,-15.774,-23.0306,7.2566
-0.3399,0.5331,-0.4943,0.1113,0.4271,49.3254,47.5425,1.7828
-0.232,-0.0397,-0.32,-0.1335,0.4271,48.2051,41.8963,6.3088
-0.1103,0.6496,0.4459,-0.441,0.4271,58.3007,54.7054,3.5953
0.8368,0.3638,-0.3857,-0.059,0.4271,69.9957,57.8965,12.0992
-0.2137,-1.2088,0.0032,0.128,-1.1097,16.6905,14.9918,1.6987
0.2883,0.6011,-1.247,-0.1094,0.4271,48.9144,47.712,1.2024
-1.3725,-1.5161,-1.059,-0.1872,-2.3842,-27.2726,-26.3818,-0.8908
1.0033,0.9771,0.2138,-0.7245,0.4271,65.287,66.5642,-1.2772
-0.3361,0.6892,0.069,-0.0092,0.4271,50.0729,52.8333,-2.7604
-0.6967,-0.6141,-0.5211,0.4804,0.4271,34.0084,33.1782,0.8302
0.3253,0.3369,-0.1299,-0.1819,0.4271,56.4158,53.2281,3.1877
0.5426,0.4438,0.3914,0.6018,0.4271,70.2518,66.2166,4.0352
1.1701,0.1261,0.3057,0.3435,0.4271,63.3393,66.9123,-3.573
0.5694,0.9197,-0.4772,0.3861,0.4271,71.7862,63.6731,8.1131
-1.3184,-0.5903,0.3094,-0.2935,0.4271,27.938,27.796,0.142
0.0563,0.5845,-0.034,-0.7349,0.4271,42.3346,50.0241,-7.6895
0.5612,0.7813,-0.3094,0.1884,0.4271,61.0444,61.9461,-0.9017
-0.1839,0.7883,-0.0597,0.0489,0.4271,59.8542,54.9932,4.861
1.151,0.3819,0.7644,-0.2075,0.4271,68.4367,69.2822,-0.8455
0.7459,0.2966,0.5371,-0.1281,0.4271,67.0841,62.7864,4.2977
0.6027,0.8947,-0.1478,-0.3536,0.4271,54.2382,61.1406,-6.9023
0.5595,1.235,-0.7119,-0.4014,0.4271,57.653,59.833,-2.18
1.311,0.1835,0.451,0.7748,0.4271,75.1802,73.1817,1.9986
-0.0531,-0.7379,-0.1497,-0.3158,0.4271,28.573,36.0045,-7.4315
0.507,0.4423,0.988,0.0432,0.4271,75.1275,66.5246,8.6029
1.0206,-0.1037,0.2966,-0.1356,-0.8474,53.0922,44.1849,8.9073
0.3438,0.567,-0.0541,0.2769,0.4271,59.5379,59.7862,-0.2483
-0.0972,-0.0049,-0.1496,0.3639,0.4271,52.5888,48.5007,4.0881
-0.6465,0.8859,-1.864,0.1091,0.4271,48.8725,37.6716,11.2009
-0.5604,0.3438,0.0635,-0.2519,0.4271,58.0553,44.8181,13.2371
0.492,0.4457,-0.0413,0.1161,0.4271,69.0139,58.9906,10.0233
0.138,-0.8627,0.2347,0.3758,0.4271,31.9187,44.4132,-12.4945
0.8381,0.0124,0.5928,0.0531,0.4271,64.7561,62.2671,2.489
-0.2191,-1.0487,0.0234,0.1092,0.4271,35.736,35.0169,0.7191
-0.5164,-1.0076,-0.4756,0.1763,-0.8474,16.1781,13.7797,2.3984
0.4771,0.3546,0.7155,0.0347,0.4271,71.1884,63.0617,8.1267
-0.3095,-0.4778,-0.3971,-0.0861,0.4271,45.4851,35.8755,9.6097
-1.6316,-1.1829,-0.2068,0.1905,0.4271,12.2855,17.1688,-4.8832
-1.771,-1.2603,-0.015,-0.0048,-2.3842,-12.7297,-18.4758,5.7461
-1.2025,0.5646,0.4726,-0.5537,-2.3842,-2.7392,8.0706,-10.8098
-1.4171,-1.17,0.1129,-0.981,-2.3842,-15.6208,-19.4713,3.8505
-0.833,-1.005,0.0556,-1.0643,0.4271,12.9001,21.0223,-8.1221
-1.5701,-0.6087,-0.635,-0.21,-2.3842,-18.5886,-15.1928,-3.3959
1.312,1.1893,0.558,1.4596,0.4271,85.8965,90.0877,-4.1912
-0.1747,0.096,-0.1359,-0.4922,0.4271,40.7919,42.9591,-2.1671
0.4341,1.0109,0.6684,0.3233,0.4271,64.8804,71.6257,-6.7453
-1.6333,-0.5693,-0.7891,0.1559,0.4271,9.5296,19.3307,-9.8011
1.4861,1.778,0.3011,1.5861,0.4271,83.6988,97.4749,-13.7761
0.9698,1.2648,-0.2903,0.1147,0.4271,69.6101,71.3955,-1.7853
-0.8581,0.0634,-0.5645,-0.0382,0.4271,43.644,35.129,8.515
-0.1591,0.1737,0.0048,0.3464,0.4271,54.5119,50.9113,3.6006
-0.6015,-1.0804,0.5925,0.2829,-0.8474,18.796,21.0073,-2.2114
0.2128,-0.8945,-0.8966,-0.0393,0.4271,25.4808,33.2697,-7.7889
-0.7423,-0.7184,0.466,-0.3279,0.4271,28.2971,33.4922,-5.1951
-0.5485,0.0545,-1.0426,0.6839,0.4271,37.2879,39.6873,-2.3993
-0.2801,0.4287,-0.9136,-0.3706,0.4271,38.1684,40.4329,-2.2645
1.294,0.6708,0.543,0.133,0.4271,83.5106,74.7276,8.783
0.6749,1.109,-0.3266,0.4184,0.4271,62.8743,68.3144,-5.4401
0.3872,0.1338,-0.5175,-0.1208,0.4271,54.4312,49.0493,5.3819
-0.5028,0.0316,-0.1595,-1.0224,0.4271,34.6312,34.8531,-0.2219
0.4796,0.7881,0.6224,-0.2238,0.4271,68.3492,65.4499,2.8993
-0.1831,0.3722,-0.0693,-0.1348,0.4271,54.6457,48.9727,5.6729
-0.4143,-0.5996,0.21,-0.6302,0.4271,36.8333,34.272,2.5613
1.1064,0.7196,-0.0482,0.2777,0.4271,64.5996,69.7237,-5.1242
0.5219,0.8553,-0.0006,0.3437,0.4271,62.0966,65.8119,-3.7152
-1.6167,-1.3734,-0.1034,-0.4603,0.4271,5.3127,11.458,-6.1454
0.6179,-0.327,-0.093,0.0016,0.4271,55.075,50.4571,4.6179
-0.7779,-0.7223,-0.3005,0.1692,-0.8474,17.3949,15.4847,1.9101
-1.4222,-0.5143,-0.9591,-0.3273,-2.3842,-14.6852,-15.8565,1.1713
-0.0734,0.28,0.1646,-0.4577,0.4271,50.3299,48.6644,1.6654
-0.7005,-0.6734,-0.5448,0.1571,0.4271,23.5935,30.0404,-6.4469
-0.3608,-0.3766,0.3748,-0.7882,-0.8474,16.9199,22.3816,-5.4617
-0.1465,0.4035,1.0835,0.0092,0.4271,64.064,59.5862,4.4777
1.2468,-0.0506,0.3977,0.1346,0.4271,75.8126,65.0028,10.8098
0.6833,0.4904,-0.4421,0.296,0.4271,58.4423,59.7091,-1.2668
0.1188,0.2101,0.5278,0.4893,0.4271,69.6537,59.3158,10.3379
0.2496,1.0071,0.8386,0.0838,0.4271,67.1082,69.2506,-2.1425
0.315,0.5232,0.5371,0.4871,0.4271,62.7532,64.994,-2.2408
-0.4448,0.8508,0.0827,0.2084,0.4271,46.8305,55.1042,-8.2737
-1.2925,-0.8583,1.0835,-0.8078,-2.3842,-11.2369,-5.9587,-5.2782
-0.3374,-0.5343,0.5895,-0.259,-2.3842,7.0324,7.9315,-0.8991
0.4927,-0.0305,0.9525,-0.5763,0.4271,56.9693,56.4762,0.4932
0.0031,-0.4494,-0.3465,0.1622,0.4271,42.4223,41.6599,0.7625
1.0699,0.8436,0.8162,-0.0985,0.4271,72.3375,74.762,-2.4245
-1.5799,-1.8914,-1.2755,-0.449,-1.1097,-24.3694,-21.1692,-3.2002
0.9242,0.082,0.6842,0.8216,0.4271,72.6126,70.0171,2.5955
-0.2217,-0.462,0.1462,-0.298,0.4271,33.8785,39.7007,-5.8222
-0.3657,-0.3845,0.2808,-0.1365,-2.3842,9.197,7.79,1.407
0.6793,0.4359,-0.0091,0.3148,0.4271,52.6534,62.515,-9.8616
0.8309,1.2205,0.3605,0.9315,0.4271,86.1609,80.0931,6.0678
-0.044,0.9097,0.8285,-0.2224,0.4271,70.3363,62.8033,7.533
-0.1501,-0.5375,0.3295,0.2557,-2.3842,22.8011,11.4794,11.3217
-0.6673,0.8606,0.2846,-0.3456,0.4271,60.1183,50.5333,9.585
-0.4355,-0.3449,0.3699,-0.8516,0.4271,37.2057,36.6003,0.6055
-0.6762,0.5923,-0.4802,-0.0201,0.4271,48.0037,43.8002,4.2036
-0.6637,-0.5982,-0.8349,0.0112,0.4271,30.8867,28.0364,2.8503
-1.5225,-0.3061,0.012,-0.4595,0.4271,25.2963,25.3623,-0.066
0.3335,1.2505,0.4974,0.3986,0.4271,79.1554,72.4504,6.7049
0.0921,-0.4517,0.964,0.1404,0.4271,57.1412,52.5172,4.6239
1.1614,1.1915,0.6821,0.9319,0.4271,83.9911,85.785,-1.7938
0.748,0.9607,0.5386,0.4071,0.4271,74.8199,74.0077,0.8122
-0.0053,0.993,-0.8347,-0.1056,0.4271,57.4881,52.1711,5.317
0.4404,-0.4968,0.3427,0.1998,0.4271,51.9109,51.3763,0.5345
1.175,0.8242,0.1386,0.6573,0.4271,74.3069,75.7106,-1.4037
1.0569,0.758,0.4502,-0.5406,0.4271,74.3384,67.7712,6.5672
-0.5581,-1.0691,0.3887,0.1673,0.4271,33.0506,34.3714,-1.3209
1.0086,0.8265,-0.0158,0.9702,0.4271,68.8401,74.9406,-6.1005
0.5141,0.6491,0.519,0.2264,0.4271,74.3073,66.5915,7.7159
-0.1407,0.7199,0.403,0.2596,0.4271,61.5106,59.7095,1.8011
-0.2943,-0.6634,0.7623,-0.509,0.4271,41.949,39.9324,2.0166
0.4894,0.7249,-0.8767,0.838,0.4271,65.2742,60.6934,4.5808
-0.3548,-0.9145,0.3743,0.1984,0.4271,37.9935,38.3931,-0.3996
0.2804,-0.8994,0.6534,0.061,0.4271,38.7316,46.5597,-7.8281
-0.2208,-0.5035,0.1004,0.0908,0.4271,38.2887,41.5942,-3.3055
-1.4304,0.1498,0.1238,0.0388,-2.3842,10.3712,2.4003,7.971
